Abbreviation,Ambiguous,Case Sensitive,Full Text,Reverse Ambiguous
Creat,FALSE,FALSE,creatinine,FALSE
CREST,FALSE,FALSE,calcinosis Raynaud phenomenon esophageal dysmotility sclerodactyly telangiectasia,FALSE
CRF,TRUE,FALSE,chronic renal failure|corticotropin-releasing factor,FALSE
CRIF,FALSE,FALSE,closed reduction internal fixation,FALSE
CRION,FALSE,FALSE,chronic relapsing inflammatory optic neuropathy,FALSE
CRISPR,FALSE,FALSE,clustered regularly interspaced short palindromic repeats,FALSE
CRL,FALSE,FALSE,crown-rump length,FALSE
CRM,FALSE,FALSE,circumferential resection margin,FALSE
CRMD,FALSE,FALSE,cardiac rhythm management device,FALSE
CRP,FALSE,FALSE,C-reactive protein,FALSE
CRPS,FALSE,FALSE,complex regional pain syndrome,FALSE
CRS,FALSE,FALSE,chronic rhinosinusitis,FALSE
CRT,TRUE,FALSE,capillary refill time|cathode ray tube,FALSE
CRTX,FALSE,FALSE,chemoradiotherapy,FALSE
CRUK,FALSE,FALSE,Cancer Research UK,FALSE
CS,TRUE,TRUE,Cesarean section|cavernous sinus|chemical shift|compressed sensing|coronary sinus|corticospinal,FALSE
Cs,FALSE,TRUE,cesium,FALSE
C&S,FALSE,FALSE,culture and sensitivity,FALSE
C/S,FALSE,FALSE,cesarean section,FALSE
cSDH,FALSE,FALSE,chronic subdural hemorrhage,FALSE
CSF,FALSE,FALSE,cerebrospinal fluid,FALSE
CS-MRI,FALSE,FALSE,chemical shift MRI,FALSE
CSNT,FALSE,FALSE,calves soft and non tender,FALSE
CSOM,FALSE,FALSE,chronic serous otitis media,FALSE
CSS,FALSE,FALSE,Churg-Strauss syndrome,FALSE
CSU,FALSE,FALSE,catheter specimen of urine,FALSE
CSW,FALSE,FALSE,commercial sex worker,FALSE
CT,TRUE,FALSE,chemotherapy|computed tomography,FALSE
CTA,FALSE,FALSE,computed tomography angiography,FALSE
CTAP,FALSE,FALSE,computed tomography abdomen pelvis,FALSE
CTB,FALSE,FALSE,computed tomography brain,FALSE
CTC,FALSE,FALSE,computed tomography colonoscopy,FALSE
CTCA,FALSE,FALSE,computed tomography coronary angiogram,FALSE
CTCAP,FALSE,FALSE,computed tomography chest abdomen pelvis,FALSE
CTDI,FALSE,FALSE,CT dose index,FALSE
CTED,FALSE,FALSE,chronic thromboembolic disease,FALSE
CTEPH,FALSE,FALSE,chronic thromboembolic pulmonary hypertension,FALSE
CTEV,FALSE,FALSE,congenital talipes equinovarus,FALSE
CTG,FALSE,FALSE,cardiotocography,FALSE
CTH,FALSE,FALSE,computed tomography head,FALSE
CTIVC,FALSE,FALSE,computed tomography intravenous cholangiogram,FALSE
CTIVP,FALSE,FALSE,computed tomography intravenous pyelogram,FALSE
CTO,FALSE,FALSE,chronic total occlusion,FALSE
CTP,FALSE,FALSE,computed tomography perfusion,FALSE
CTPA,TRUE,FALSE,computed tomography pulmonary angiogram|computed tomography pulmonary angiography,FALSE
CTPE,FALSE,FALSE,computed tomography pulmonary embolus study,FALSE
CTR,FALSE,FALSE,cardiothoracic ratio,FALSE
CTS,FALSE,FALSE,carpal tunnel syndrome,FALSE
CTSI,FALSE,FALSE,CT severity index,FALSE
CTTAP,FALSE,FALSE,computed tomography thorax abdomen pelvis,FALSE
CTU,FALSE,FALSE,computed tomography urogram,FALSE
CTV,TRUE,FALSE,clinical target volume|computed tomography venogram,FALSE
CTX,FALSE,FALSE,chemotherapy,FALSE
CTZ,FALSE,FALSE,chemosensitive trigger zone,FALSE
Cu,FALSE,FALSE,copper,FALSE
CUP,FALSE,FALSE,cancer of unknown primary,FALSE
CV,FALSE,FALSE,curriculum vitae,FALSE
CVA,FALSE,FALSE,cerebrovascular accident,FALSE
CVAD,FALSE,FALSE,central venous access device,FALSE
CVC,FALSE,FALSE,central venous catheter,FALSE
CVE,FALSE,FALSE,cerebrovascular event,FALSE
cVEMP,FALSE,FALSE,cervical vestibular-evoked myogenic potentials,FALSE
CVID,FALSE,FALSE,common variable immune deficiency,FALSE
CVL,FALSE,FALSE,central venous line,FALSE
CVP,FALSE,FALSE,central venous pressure,FALSE
CVS,TRUE,FALSE,cardiovascular system|chorionic villus sampling,FALSE
CWD,FALSE,FALSE,continuous wave Doppler,FALSE
CWP,FALSE,FALSE,coal workers' pneumoconiosis,FALSE
Cx,TRUE,FALSE,cervix|circumflex artery|complication,FALSE
CXR,FALSE,FALSE,chest x-ray,FALSE
Cys,FALSE,FALSE,cysteine,FALSE
CZ,FALSE,FALSE,central zone,FALSE
D,TRUE,FALSE,aspartic acid|day|diarrhea|distal|dorsal ,FALSE
D&C,FALSE,FALSE,dilation and curettage,FALSE
DA,FALSE,TRUE,dopamine,FALSE
Da,FALSE,TRUE,dalton,FALSE
DAD,FALSE,FALSE,diffuse alveolar damage,FALSE
DAH,FALSE,FALSE,diffuse alveolar hemorrhage,FALSE
DAI,FALSE,FALSE,diffuse axonal injury,FALSE
DAPLD,FALSE,FALSE,domestically acquired particulate lung disease,FALSE
DAPT,FALSE,FALSE,dual antiplatelet therapy,FALSE
DAT,FALSE,FALSE,dopamine active transporter,FALSE
DAVF,FALSE,FALSE,dural arteriovenous fistula,FALSE
dB,FALSE,FALSE,decibel,FALSE
DBP,FALSE,FALSE,diastolic blood pressure,FALSE
DBS,FALSE,FALSE,deep brain stimulation,FALSE
DC,TRUE,FALSE,descending colon|direct current|discharge,FALSE
D&C,FALSE,FALSE,dilation and curettage,FALSE
D/C,FALSE,FALSE,discharge,FALSE
DCD,FALSE,FALSE,donation before cardiac death,FALSE
DCDA,FALSE,FALSE,dichorionic diamniotic,FALSE
DCE,FALSE,FALSE,dynamic contrast enhancement,FALSE
DCG,FALSE,FALSE,dacrocystogram,FALSE
DCI,FALSE,FALSE,delayed cerebral ischemia,FALSE
DCIA,FALSE,FALSE,deep circumflex iliac artery,FALSE
DCIS,FALSE,FALSE,ductal carcinoma in situ,FALSE
DCM,FALSE,FALSE,dilated cardiomyopathy,FALSE
DCR,FALSE,FALSE,digitized chest radiograph,FALSE
DD,TRUE,FALSE,differential diagnosis|duodenal diverticulum,FALSE
DDD,TRUE,FALSE,degenerative disc disease|dual pacing dual sensing and dual response pacemaker mode,FALSE
DDMFR,FALSE,FALSE,Diploma in Dental and Maxillofacial Radiology,FALSE
DDx,FALSE,FALSE,differential diagnosis,FALSE
DEB,FALSE,FALSE,drug-eluting balloon,FALSE
DEB-TACE,FALSE,FALSE,drug-eluting bead transcatheter arterial chemoembolisation,FALSE
DECT,FALSE,FALSE,dual-energy CT,FALSE
defib,FALSE,FALSE,defibrillator,FALSE
DENV,FALSE,FALSE,dengue viruses,FALSE
deoxyHb,FALSE,FALSE,deoxygenated hemoglobin,FALSE
DES,TRUE,FALSE,diethylstilbestrol|drug-eluting stent,FALSE
DESS,FALSE,FALSE,double echo steady state sequence,FALSE
DEXA,FALSE,FALSE,dual energy x-ray absorptiometry,FALSE
DF118,FALSE,FALSE,dihydrocodeine,FALSE
DFI,FALSE,FALSE,diabetic foot infection,FALSE
DFR,FALSE,FALSE,distal femoral replacement,FALSE
dGEMRIC,FALSE,FALSE,delayed gadolinium-enhanced MRI of cartilage,FALSE
DGH,FALSE,FALSE,district general hospital,FALSE
DHEA,FALSE,FALSE,dihydroepiandrosterone,FALSE
DI,FALSE,FALSE,diabetes insipidus,FALSE
DIC,FALSE,FALSE,disseminated intravascular coagulation,FALSE
DICOM,FALSE,FALSE,digital imaging and communications in medicine,FALSE
DIEP,FALSE,FALSE,deep inferior epigastric perforators,FALSE
DIH,FALSE,FALSE,direct inguinal hernia,FALSE
DILI,FALSE,FALSE,drug-induced liver injury,FALSE
DIP,FALSE,FALSE,desquamative interstitial pneumonia,FALSE
DIPI,FALSE,FALSE,direct intraperitoneal insemination,FALSE
DIPJ,FALSE,FALSE,distal interphalangeal joint,FALSE
DIPNECH,FALSE,FALSE,diffuse idiopathic neuroendocrine cell hyperplasia,FALSE
DIR,FALSE,FALSE,double inversion recovery,FALSE
DISH,FALSE,FALSE,diffuse idiopathic skeletal hyperostosis,FALSE
DISI,FALSE,FALSE,dorsal intercalated segment instability,FALSE
DJBL,FALSE,FALSE,duodenal–jejunal bypass liner,FALSE
DJD,FALSE,FALSE,degenerative joint disease,FALSE
DJF,FALSE,FALSE,duodenojejunal flexure,FALSE
DKA,FALSE,FALSE,diabetic ketoacidosis,FALSE
DLBCL,FALSE,FALSE,diffuse large B cell lymphoma,FALSE
DLB,FALSE,FALSE,dementia with Lewy bodies,FALSE
DLCO,FALSE,FALSE,diffusing capacity of the lungs for carbon monoxide,FALSE
DLP,TRUE,FALSE,dose-length product|double-layered patella,FALSE
DM,FALSE,FALSE,diabetes mellitus,FALSE
DMBSG,FALSE,FALSE,diffuse midline brainstem glioma,FALSE
DMD,FALSE,FALSE,Duchenne muscular dystrophy,FALSE
DMRD,FALSE,FALSE,Diploma in Medical Radiodiagnosis,FALSE
DMRE,FALSE,FALSE,Diploma in Medical Radiology and Electrology,FALSE
DMS,FALSE,FALSE,diagnostic medical sonography,FALSE
DMSA,FALSE,FALSE,dimercaptosuccinic acid,FALSE
DNA,TRUE,FALSE,deoxyribonucleic acid|did not attend,FALSE
DNAR,FALSE,FALSE,do not attempt resuscitation,FALSE
DNC,FALSE,FALSE,dilation and curettage,FALSE
DNET,FALSE,FALSE,dysembryoplastic neuroepithelial tumor,FALSE
DNR,FALSE,FALSE,do not resuscitate,FALSE
DOA,FALSE,FALSE,dead on arrival,FALSE
DOAC,FALSE,FALSE,direct oral anticoagulant,FALSE
DOB,FALSE,FALSE,date of birth,FALSE
DOE,FALSE,FALSE,dyspnea on exertion,FALSE
DOI,FALSE,FALSE,digital object identifier,FALSE
DORV,FALSE,FALSE,double outlet right ventricle,FALSE
DOT,FALSE,FALSE,directly observed therapy,FALSE
DOTA,FALSE,FALSE,14710-tetraazacyclododecane-14710-tetraacetic acid,FALSE
DP,FALSE,FALSE,distal phalanx,FALSE
DPA,FALSE,FALSE,dorsalis pedis artery,FALSE
DPH,FALSE,FALSE,diffuse pulmonary hemorrhage,FALSE
DPT,FALSE,FALSE,diphtheria pertussis tetanus,FALSE
DR,FALSE,FALSE,distal radius,FALSE
DRG,TRUE,FALSE,diagnosis-related group|dorsal root ganglion,FALSE
DRUJ,FALSE,FALSE,distal radioulnar joint,FALSE
DS,TRUE,FALSE,Down syndrome|Dressler syndrome,FALSE
DSA,FALSE,FALSE,digital subtraction angiography,FALSE
DSPA,FALSE,FALSE,digital subtraction pulmonary angiography,FALSE
DT,FALSE,FALSE,delirium tremens,FALSE
DTaP,FALSE,FALSE,diphtheria tetanus and pertussis,FALSE
DTI,FALSE,FALSE,diffusion tensor imaging,FALSE
DTP,FALSE,FALSE,diphtheria tetanus pertussis,FALSE
DTPA,FALSE,FALSE,diethylenetriaminepentaacetic acid,FALSE
DTR,FALSE,FALSE,deep tendon reflexes,FALSE
DTS,FALSE,FALSE,double tissue sampling,FALSE
DU,FALSE,FALSE,duodenal ulcer,FALSE
DV,FALSE,FALSE,domestic violence,FALSE
DVT,FALSE,FALSE,deep vein thrombosis,FALSE
D/W,FALSE,FALSE,discussion with,FALSE
DWI,FALSE,FALSE,diffusion weighted imaging,FALSE
DWM,FALSE,FALSE,Dandy-Walker malformation,FALSE
Dx,FALSE,FALSE,diagnosis,FALSE
DXA,FALSE,FALSE,dual energy x-ray absorptiometry,FALSE
DXT,FALSE,FALSE,deep x-ray therapy,FALSE
Dy,FALSE,FALSE,dysprosium,FALSE
DZ,FALSE,FALSE,dizygote,FALSE
E,TRUE,FALSE,escherichia|estrogen|eyes|glutamic acid|glutamate,FALSE
E1,FALSE,FALSE,estrone,FALSE
E2,FALSE,FALSE,estradiol,FALSE
E3,FALSE,FALSE,estriol,FALSE
EAC,FALSE,FALSE,external auditory canal,FALSE
EAM,FALSE,FALSE,external auditory meatus,FALSE
EARPV,FALSE,FALSE,echogenic anterior wall of the right portal vein,FALSE
EBIR,FALSE,FALSE,European Board of Interventional Radiology,FALSE
EBL,TRUE,FALSE,estimated blood loss|evidence-based learning,FALSE
EBLVRS,FALSE,FALSE,endobronchial lung volume reduction surgery,FALSE
EBM,TRUE,FALSE,endobronchial metastasis|evidence-based medicine,FALSE
EBRT,FALSE,FALSE,external beam radiotherapy,FALSE
EBUS,FALSE,FALSE,endobronchial ultrasound,FALSE
EBV,TRUE,FALSE,endobronchial valve|Epstein-Barr virus,FALSE
ECA,FALSE,FALSE,external carotid artery,FALSE
ECF,FALSE,FALSE,enterocutaneous fistula,FALSE
ECG,FALSE,FALSE,electrocardiogram,FALSE
Echo,FALSE,FALSE,echocardigraphy,FALSE
ECMO,FALSE,FALSE,extracorporeal membrane oxygenation,FALSE
ECR,TRUE,FALSE,endovascular clot retrieval|European Congress of Radiology,FALSE
ECRB,FALSE,FALSE,extensor carpi radialis brevis,FALSE
ECS,FALSE,FALSE,emergency cesarian section,FALSE
ECST,FALSE,FALSE,European Carotid Surgery Trial,FALSE
ECT,FALSE,FALSE,electroconvulsive therapy,FALSE
ED,TRUE,FALSE,emergency department|erectile dysfunction,FALSE
EDD,FALSE,FALSE,expected date of delivery,FALSE
EDH,TRUE,FALSE,epidural hemorrhage|extradural hemorrhage,FALSE
EDiR,FALSE,FALSE,European Diploma in Radiology,FALSE
EDMS,FALSE,FALSE,electronic document management system,FALSE
EDV,TRUE,FALSE,end-diastolic velocity|end-diastolic volume,FALSE
EEE,FALSE,FALSE,eastern equine encephalitis,FALSE
EF,FALSE,FALSE,ejection fraction,FALSE
EG,TRUE,FALSE,eosinophilic gastroenteritis|eosinophilic granuloma|for example,FALSE
EGD,FALSE,FALSE,esophagogastroduodenoscopy,FALSE
eGFR,FALSE,FALSE,estimated glomerular filtration rate,FALSE
EGPA,FALSE,FALSE,eosinophilic granulomatosis with polyangiitis,FALSE
EIA,FALSE,FALSE,external iliac artery,FALSE
EIF,FALSE,FALSE,echogenic intracardiac focus,FALSE
EIV,FALSE,FALSE,external iliac vein,FALSE
EJV,FALSE,FALSE,external jugular vein,FALSE
EKG,FALSE,FALSE,electrokardiogram,FALSE
ELST,FALSE,FALSE,endolymphatic sac tumor,FALSE
EMD,FALSE,FALSE,electromechanical dissociation,FALSE
EMF,TRUE,FALSE,electromotive force|endomyocardial fibrosis,FALSE
EMG,FALSE,FALSE,electromyography,FALSE
EMP,FALSE,FALSE,extramedullary plasmacytoma,FALSE
EMR,TRUE,FALSE,electronic medical record|endoscopic mucosal resection,FALSE
EMVI,FALSE,FALSE,extramural vascular invasion,FALSE
ENB,FALSE,FALSE,electromagnetic navigation bronchoscopy,FALSE
ENT,FALSE,FALSE,ear nose and throat,FALSE
EOA,FALSE,FALSE,esophageal obturator airway,FALSE
EOM,FALSE,FALSE,extraocular muscles,FALSE
EOS,FALSE,FALSE,early-onset sepsis,FALSE
E/O,TRUE,FALSE,evidence of|examination of|excision of|exclusion of,FALSE
EPI,FALSE,FALSE,echo-planar imaging,FALSE
EPIA,FALSE,FALSE,epiandrosterone,FALSE
ER,FALSE,TRUE,emergency room,FALSE
Er,FALSE,TRUE,erbium,FALSE
ERCP,FALSE,FALSE,endoscopic retrograde cholangiopancreatography,FALSE
ERV,FALSE,FALSE,expiratory reserve volume,FALSE
Es,FALSE,FALSE,einsteinium,FALSE
ESBL,FALSE,FALSE,extended-spectrum beta-lactamase,FALSE
ESGAR,FALSE,FALSE,European Society of Gastrointestinal and Abdominal Radiology,FALSE
ESOI,FALSE,FALSE,European Society of Oncological Imaging,FALSE
ESOS,FALSE,FALSE,extraskeletal osteosarcoma,FALSE
ESR,TRUE,FALSE,erythrocyte sedimentation rate|European Society of Radiology,FALSE
ESRF,FALSE,FALSE,end stage renal failure,FALSE
ESS,TRUE,FALSE,endometrial stromal tumor|endoscopic sinus surgery,FALSE
ESUR,FALSE,FALSE,European Society of Urogenital Radiology,FALSE
ESWL,FALSE,FALSE,extracorporeal shock wave lithotripsy,FALSE
ET,FALSE,FALSE,exercise tolerance,FALSE
ETA,FALSE,FALSE,estimated time of arrival,FALSE
Et al,FALSE,FALSE,and others,FALSE
ETC,TRUE,FALSE,esophagotracheal combitube|estimated time of confinement|et cetera,FALSE
ETD,FALSE,FALSE,estimated time of delivery,FALSE
ETEC,FALSE,FALSE,enterotoxigenic _Escherichia coli_,FALSE
ETL,FALSE,FALSE,echo train length,FALSE
EtOH,FALSE,FALSE,ethanol,FALSE
ETT,TRUE,FALSE,endotracheal tube|exercise tolerance test,FALSE
Eu,FALSE,FALSE,europium,FALSE
EUA,FALSE,FALSE,examination under anesthesia,FALSE
EUS,FALSE,FALSE,endoscopic ultrasound,FALSE
EUSB,FALSE,FALSE,endoscopic ultrasound biopsy,FALSE
EVD,FALSE,FALSE,extraventricular drain,FALSE
Ex,FALSE,FALSE,exitus,FALSE
Exp,FALSE,FALSE,expiratory,FALSE
F,TRUE,FALSE,farad|female|fluorine|French gauge|phenylalanine,FALSE
FA,FALSE,FALSE,fibroadenoma,FALSE
FABER,FALSE,FALSE,flexion abduction and external rotation maneuver,FALSE
FACR,FALSE,FALSE,Fellow of the American College of Radiology,FALSE
FAF,FALSE,FALSE,fissula ante fenestram,FALSE
FAI,FALSE,FALSE,femoroacetabular impingement,FALSE
FAMMM,FALSE,FALSE,familial atypical multiple mole melanoma syndrome​,FALSE
FASI,FALSE,FALSE,focal areas of signal intensity,FALSE
FAST,TRUE,FALSE,focused assessment with sonography for trauma|Fourier-acquired steady state,FALSE
Fat sat,FALSE,FALSE,fat saturation,FALSE
Fax,FALSE,FALSE,facsimile,FALSE
FB,FALSE,FALSE,foreign body,FALSE
FBC,FALSE,FALSE,full blood count,FALSE
FBG,FALSE,FALSE,fasting blood glucose,FALSE
FBOA,FALSE,FALSE,foreign body obstructed airway,FALSE
FCC,FALSE,FALSE,fibrocystic change,FALSE
FCD,TRUE,FALSE,fibrocystic disease|fibrous cortical defect|fibrous cortical dysplasia,FALSE
FCL,FALSE,FALSE,fibular collateral ligament,FALSE
FCMD,FALSE,FALSE,Fukuyama congenital muscular dystrophy,FALSE
FC Rad Diag,FALSE,FALSE,Fellowship of the College of Radiologists of South Africa,FALSE
FD,FALSE,FALSE,fibrous dysplasia,FALSE
FDA,FALSE,FALSE,Food and Drug Administration,FALSE
FDG,FALSE,FALSE,fluorodeoxyglucose,FALSE
FDL,FALSE,FALSE,flexor digitorum longus,FALSE
FDP,TRUE,FALSE,fibrin degradation product|flexor digitorum profundus,FALSE
FDS,FALSE,FALSE,flexor digitorum superficialis,FALSE
FE,FALSE,TRUE,flexion-extension,FALSE
Fe,FALSE,TRUE,iron,FALSE
FEP,FALSE,FALSE,first ever psychosis,FALSE
FES,FALSE,FALSE,fat embolism syndrome,FALSE
FESS,FALSE,FALSE,functional endoscopic sinus surgery,FALSE
FEV1,FALSE,FALSE,forced expiratory volume in 1 second,FALSE
FFA,FALSE,FALSE,free fatty acids,FALSE
FFI,FALSE,FALSE,focal fatty infiltration,FALSE
FFP,FALSE,FALSE,fresh frozen plasma,FALSE
FFS,FALSE,FALSE,focal fatty sparing,FALSE
FH,FALSE,FALSE,family history,FALSE
FHM,FALSE,FALSE,fetal heart motion,FALSE
FHR,FALSE,FALSE,fetal heart rate,FALSE
FHS,FALSE,FALSE,fetal heart sounds,FALSE
FHx,FALSE,FALSE,family history,FALSE
FI,FALSE,FALSE,for investigation,FALSE
FID,FALSE,FALSE,free induction decay,FALSE
FIESTA,FALSE,FALSE,fast imaging employing steady state acquisition,FALSE
FIF,FALSE,FALSE,forced inspiratory flow,FALSE
FiNA,FALSE,FALSE,fine needle aspiration,FALSE
FIRES,FALSE,FALSE,febrile infection-related epilepsy syndrome,FALSE
FISP,FALSE,FALSE,fast imaging with steady-state precession,FALSE
FJ,FALSE,FALSE,facet joint,FALSE
FL,FALSE,FALSE,femur length,FALSE
FLAIR,FALSE,FALSE,fluid-attenuated inversion recovery,FALSE
FLASH,FALSE,FALSE,fast low angle shot,FALSE
FLC,FALSE,FALSE,fibrolamellar carcinoma,FALSE
FLCN-S,FALSE,FALSE,folliculin gene-associated syndrome,FALSE
FLI,FALSE,FALSE,flu like illness,FALSE
Fluoro,FALSE,FALSE,fluoroscopy,FALSE
FMD,FALSE,FALSE,fibromuscular dysplasia,FALSE
FMF,FALSE,FALSE,familial Mediterranean fever,FALSE
fMRI,FALSE,FALSE,functional magnetic resonance imaging,FALSE
FN,FALSE,FALSE,febrile neutropenia,FALSE
FNA,FALSE,FALSE,fine needle aspiration,FALSE
FNAB,FALSE,FALSE,fine needle aspiration biopsy,FALSE
FNAC,FALSE,FALSE,fine needle aspiration cytology,FALSE
FNE,FALSE,FALSE,fiber optic nasoendoscopy,FALSE
FNH,FALSE,FALSE,focal nodular hyperplasia,FALSE
FO,FALSE,FALSE,foramen ovale,FALSE
FOB,FALSE,FALSE,fecal occult blood,FALSE
FOBT,FALSE,FALSE,fecal occult blood test,FALSE
FOM,FALSE,FALSE,floor of mouth,FALSE
FOOSH,FALSE,FALSE,fall on outstretched hand,FALSE
FOSIT,FALSE,FALSE,feeling of something in throat,FALSE
FOV,FALSE,FALSE,field of view,FALSE
FP,FALSE,FALSE,fetal pole,FALSE
FPCT,FALSE,FALSE,flat panel CT,FALSE
FPIES,FALSE,FALSE,food protein-induced enterocolitis syndrome,FALSE
fPSA,FALSE,FALSE,free prostate specific antigen,FALSE
Fr,FALSE,FALSE,French gauge,FALSE
FRANZCR,FALSE,FALSE,Fellow of the Royal Australian and New Zealand College of Radiologists,FALSE
FRC,FALSE,FALSE,functional residual capacity,FALSE
FRCR,FALSE,FALSE,Fellow of the royal college of radiologists,FALSE
FROEM,FALSE,FALSE,full range of eye movements,FALSE
FS,TRUE,FALSE,fat suppression|foramen spinosum,FALSE
F/S,FALSE,FALSE,frame or second,FALSE
FSE,FALSE,FALSE,fast spin echo,FALSE
FSH,FALSE,FALSE,follicle-stimulating hormone,FALSE
FSHD,FALSE,FALSE,facioscapulohumeral muscular dystrophy,FALSE
FT,TRUE,FALSE,follow-through|Fourier transform|full-time,FALSE
fT3,FALSE,FALSE,free tri-iodothyronine,FALSE
fT4,FALSE,FALSE,free thyroxine,FALSE
FTD,FALSE,FALSE,frontotemporal dementia,FALSE
FU,FALSE,FALSE,fluorouracil,FALSE
F/U,FALSE,FALSE,follow-up,FALSE
FUO,FALSE,FALSE,fever of unknown origin,FALSE
FV,FALSE,FALSE,femoral vein,FALSE
FVC,FALSE,FALSE,forced vital capacity,FALSE
FVL,FALSE,FALSE,factor V Leiden,FALSE
FWHM,FALSE,FALSE,full width at half maximum,FALSE
FWT,FALSE,FALSE,full ward test,FALSE
Fx,FALSE,FALSE,fracture,FALSE
G,TRUE,FALSE,gauge|gauss|giga|glycine|gram|guanine,FALSE
GA,TRUE,TRUE,gastric analysis|general anesthesia|gestational age,FALSE
Ga,FALSE,TRUE,gallium,FALSE
GABA,FALSE,FALSE,gamma-aminobutyric acid,FALSE
GAD,FALSE,TRUE,generalized anxiety disorder,FALSE
Gad,FALSE,TRUE,gadolinium,FALSE
GAE,FALSE,FALSE,granulomatous amoebic encephalitis,FALSE
GAG,FALSE,FALSE,glycosaminoglycan,FALSE
GAMP,FALSE,FALSE,general anesthesia manipulation and plaster,FALSE
GAVE,FALSE,FALSE,gastric antral vascular ectasia,FALSE
GB,TRUE,FALSE,gallbladder|gastric band|gigabyte,FALSE
GBEF,FALSE,FALSE,gallbladder ejection fraction,FALSE
GBM,FALSE,FALSE,glioblastoma multiforme,FALSE
GBq,FALSE,FALSE,gigabecquerel,FALSE
GBS,TRUE,FALSE,group B streptococcus|Guillain-Barré syndrome,FALSE
GCA,FALSE,FALSE,giant cell arteritis,FALSE
GCA scale,FALSE,FALSE,global cortical atrophy scale,FALSE
GCS,FALSE,FALSE,Glasgow coma scale,FALSE
GCT,TRUE,FALSE,germ cell tumor|giant cell tumor,FALSE
GCV,FALSE,FALSE,great cardiac vein,FALSE
GD,TRUE,TRUE,Gaucher disease|gestational diabetes,FALSE
Gd,FALSE,TRUE,gadolinium,FALSE
GDA,FALSE,FALSE,gastroduodenal artery,FALSE
GDC,FALSE,FALSE,gastric duplication cyst,FALSE
GE,TRUE,TRUE,General Electric|gradient echo,FALSE
Ge,FALSE,TRUE,germanium,FALSE
GERD,FALSE,FALSE,gastroesophageal reflux disease,FALSE
GEP-NET,FALSE,FALSE,gastroenteropancreatic neuroendocrine tumor,FALSE
GFR,FALSE,FALSE,glomerular filtration rate,FALSE
GG,TRUE,FALSE,Gastrografin®|ground glass,FALSE
GGO,FALSE,FALSE,ground glass opacity,FALSE
GGT,FALSE,FALSE,gamma-glutamyl transferase,FALSE
GH,FALSE,FALSE,growth hormone,FALSE
GHB,FALSE,FALSE,gamma hydroxybutyrate,FALSE
GHL,FALSE,FALSE,glenohumeral ligament,FALSE
GHRH,FALSE,FALSE,growth hormone releasing hormone,FALSE
GI,FALSE,FALSE,gastrointestinal,FALSE
GIF,FALSE,FALSE,graphics interchange format,FALSE
GIFT,FALSE,FALSE,gamete intrafallopian transfer,FALSE
GIST,FALSE,FALSE,gastrointestinal stromal tumor,FALSE
GIT,FALSE,FALSE,gastrointestinal tract,FALSE
Gln,FALSE,FALSE,glutamine,FALSE
Glu,FALSE,FALSE,glutamic acid,FALSE
GLUT,FALSE,FALSE,glucose transporter,FALSE
Gly,FALSE,FALSE,glycine,FALSE
GM,FALSE,FALSE,grey matter,FALSE
GMC,FALSE,FALSE,General Medical Council,FALSE
GNB,FALSE,FALSE,Gram negative bacteria,FALSE
GnRH,FALSE,FALSE,gonadotropin-releasing hormone,FALSE
GEJ,FALSE,FALSE,gastro-esophageal junction,FALSE
GOMER,FALSE,FALSE,get out of my emergency room,FALSE
GOO,FALSE,FALSE,gastric outlet obstruction,FALSE
GERD,FALSE,FALSE,gastro-esophageal reflux disease,FALSE
GP,TRUE,FALSE,general practice|general practitioner|globus pallidus,FALSE
Gr,FALSE,FALSE,Greek,FALSE
GRASS,FALSE,FALSE,gradient acquisition in steady state,FALSE
GRE,FALSE,FALSE,gradient echo,FALSE
GS,TRUE,TRUE,gallstone|Gilbert syndrome|Gram stain,FALSE
Gs,FALSE,TRUE,gauss,FALSE
G&S,FALSE,FALSE,group and save,FALSE
GSD,FALSE,FALSE,gestational sac diameter,FALSE
GSV,FALSE,FALSE,great saphenous vein,FALSE
GSW,FALSE,FALSE,gun shot wound,FALSE
GTCS,FALSE,FALSE,generalized tonic-clonic seizure,FALSE
GTDC,FALSE,FALSE,gastrointestinal tract duplication cyst,FALSE
GTN,FALSE,FALSE,glyceryl trinitrate,FALSE
GTT,TRUE,FALSE,drop|glucose tolerance test,FALSE
GTV,FALSE,FALSE,gross target volume,FALSE
GU,TRUE,FALSE,gastric ulcer|genitourinary,FALSE
GUM,FALSE,FALSE,genitourinary medicine,FALSE
GUT,FALSE,FALSE,genitourinary tract,FALSE
GVHD,FALSE,FALSE,graft versus host disease,TRUE
GVH,FALSE,FALSE,graft versus host disease,TRUE
Gy,FALSE,FALSE,gray,FALSE
GYN,FALSE,FALSE,gynecology,FALSE
H,TRUE,FALSE,height|henry|histidine|hospital|hydrogen,FALSE
H/A,FALSE,FALSE,headache,FALSE
H&N,FALSE,FALSE,head and neck,FALSE
HA,TRUE,FALSE,headache|hepatic adenoma|hepatic artery,FALSE
HAI,FALSE,FALSE,healthcare-associated infection,FALSE
HANAC syndrome,FALSE,FALSE,hereditary angiopathy with nephropathy aneurysms and muscle cramps syndrome,FALSE
HAP,FALSE,FALSE,hospital-acquired pneumonia,FALSE
HASTE,FALSE,FALSE,half-Fourier acquisition single shot turbo spin-echo,FALSE
HAV,FALSE,FALSE,hepatitis A virus,FALSE
Hb,FALSE,FALSE,hemoglobin,FALSE
